title,company,location,date_of_posting,description,source_website,provenance,source_type,link,matched_search_term,remote_mode
Senior Software Engineer (AppGlass) (m/f/d),JetBrains GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-08,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003350545-S,Software Engineer,
Software Test Engineer (m/w/d),PAR GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-20,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13932-k18687.3323-S,Software Engineer,
Software Engineer - Mobile Application | Android (m/w/d),blackned GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-20,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-bce522e9_JB5199951-S,Software Engineer,
Senior Software Engineer Data (m/w/d/x),Deutsche Telekom AG,"Berlin, BERLIN, DEUTSCHLAND",2026-07-12,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/12444-563465374108906-DT-S,Software Engineer,
Software Engineer Full Stack (m/w/d),BWI GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-06-29,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13509-0000211006b004-S,Software Engineer,
Senior Software Engineer Microservices (w/m/d),BWI GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-15,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f539j0447970-S,Software Engineer,
Software QA-Engineer (w/m/d),B. Braun,"Berlin, BERLIN, DEUTSCHLAND",2026-07-03,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-305866-S,Software Engineer,
Senior AI Software Engineer,CompuGroup Medical SE & Co. KGaA,"Berlin, BERLIN, DEUTSCHLAND",2026-06-29,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003300096-S,Software Engineer,
Senior Software Engineer (w/m/d),Capgemini Deutschland GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-06-26,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/17311-44270750-625-S,Software Engineer,
Embedded Software Engineer (m/w/d),CarByte,"Berlin, BERLIN, DEUTSCHLAND",2026-07-03,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-272264-S,Software Engineer,
FullStack Software Engineer (m/w/d),SQLI,"Berlin, BERLIN, DEUTSCHLAND",2026-07-16,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-246571-S,Software Engineer,
Fullstack Software Engineer (m/w/d) - Go/PHP,Schwarz Digits,"Berlin, BERLIN, DEUTSCHLAND",2026-07-18,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-310179-S,Software Engineer,
Software Engineer – Fullstack (m/w/d),blackned GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-ce738b23_JB5199180-S,Software Engineer,
Software Engineer - Security (m/w/d),blackned GmbH,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-54eae55a_JB5199184-S,Software Engineer,
Praktikant im Bereich Business Development (m/w/d),CKM Group,Berlin,2026-07-22,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/ckm-group/praktikant-im-bereich-business-development-berlin-369071,junior business development,
"Software Engineer, Data Infrastructure & Acquisition - Berlin, Germany",Speechify,"Berlin, Germany",2026-07-20,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/speechify/software-engineer-data-infrastructure-acquisition-berlin-germany-255908,Software Engineer,
Founding Mobile Engineer (React Native),acemate.ai,Berlin,2026-07-20,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/acemateai/founding-mobile-engineer-react-native-berlin-187747,React Developer,
Fullstack Softwareentwickler (m/w/d),TecFox GmbH,Braunschweig,2026-07-20,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/tecfox-gmbh/fullstack-softwareentwickler-braunschweig-456113,Full Stack Developer,remote
Frontend Softwareentwickler (m/w/d),TecFox GmbH,Braunschweig,2026-07-20,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/tecfox-gmbh/frontend-softwareentwickler-braunschweig-186839,Frontend Developer,remote
Area Manager (m/w/d) Business Development,Aramark Deutschland,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/12518-FKCHJC-3OK-S,Business Development,
"Senior Backend Engineer (TypeScript, NestJS/Node.js) (m/f/x)",Atolls,"Berlin, Berlin, Germany",2026-07-17,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/atolls/senior-backend-engineer-typescript-nestjs-nodejs-berlin-317808,TypeScript Developer,
Data Engineer,Atolls,"Berlin, Germany",2026-07-17,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/atolls/data-engineer-berlin-466297,AI Engineer,
Senior PHP Software Engineer,Atolls,"Berlin, Berlin, Germany",2026-07-17,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/atolls/senior-php-software-engineer-berlin-407683,Software Engineer,
Senior Full-stack Python Engineer (m/f/d) - Network Planning,Flix,"Berlin, Berlin, Germany",2026-07-18,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/flix/senior-full-stack-python-engineer-network-planning-berlin-414270,Full Stack Developer,
Technical Documentation Engineer – (m/f/d)| Legal AI Tech Scale-Up | Full Remote,Noxtua AG,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-55dfcfcf_JB5199274-S,AI Engineer,remote
Teamcenter® Engineer (m/w/d) – Junior bis Senior / 100% remote,Profi Talent Recruitment UG PTR,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003400417-S,Junior Software Engineer,remote
Software Engineer (all genders) - ZEOS (1 year limited contract),Zalando SE,"Berlin, BERLIN, DEUTSCHLAND",2026-07-17,,bundesagentur,bundesagentur,api,https://www.arbeitsagentur.de/jobsuche/jobdetail/18251-31308-S,Software Engineer,
Senior Talent Acquisition Partner (m/f/d) – FlixTrain,Flix,"Berlin, Berlin, Germany",2026-06-03,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/flix/senior-talent-acquisition-partner-flixtrain-berlin-436841,Talent Acquisition Specialist,
Senior Product Manager - Web (m/w/d) - German speaking - Berlin,Patronus,Berlin,2026-06-04,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/patronus/senior-product-manager-web-german-speaking-berlin-119701,Web Developer,
Mandatory Internship(Unpaid): Backend / Full-Stack Developer for AI SaaS,IndieKidz GmbH,Berlin,2026-06-04,,arbeitnow,arbeitnow,api,https://www.arbeitnow.com/jobs/companies/indiekidz-gmbh/mandatory-internshipunpaid-backend-full-stack-developer-for-ai-saas-berlin-152480,Full Stack Developer,remote
